word	lemma
super	super
heure	heure
contre	contre
coup	coup
comprends	comprendre
entendu	entendu
vient	venir
allons	aller
ensemble	ensemble
nouveau	nouveau
amour	amour
importe	importer
sang	sang
désolée	désolé
cas	cas
sous	sou
rester	rester
amis	ami
prends	prendre
fini	fini
hommes	homme
tué	tuer
question	question
partie	partie
histoire	histoire
devrais	devoir
aide	aide
dernière	dernier
demande	demande
chercher	chercher
pensais	penser
genre	genre
seulement	seulement
police	police
car	car
mois	mois
frère	frère
laisser	laisser
aucun	aucun
mettre	mettre
eux	lui
laisse	laisse
chaque	chaque
ville	ville
arrivé	arrivé
devrait	devoir
parlé	parlé
avez-vous	avez-vous
vont	aller
longtemps	longtemps
aucune	aucun
heures	heure
bébé	bébé
place	place
revoir	revoir
putain	putain
compris	compris
ni	ni
savais	savoir
leurs	leurs
étaient	être
attention	attention
donner	donner
affaire	affaire
endroit	endroit
pourrais	pouvoir
corps	corps
façon	façon
donné	donné
est-il	est-il
voici	voici
train	train
dont	dont
écoute	écoute
yeux	oeil
trouve	trouver
pouvoir	pouvoir
type	typer
perdu	perdu
premier	premier
première	première
côté	côté
point	point
tellement	tellement
main	main
tiens	tien
sois	être
enfant	enfant
vieux	vieux
matin	matin
venu	venir
pardon	pardon
là-bas	là-bas
suite	suite
vers	vers
minutes	minuter
demandé	demandé
venez	venir
devant	devant
dr	dr
enfin	enfin
arrêter	arrêter
cause	cause
nouvelle	nouveau
attendez	attendre
chambre	chambre
droit	droit
parti	parti
mis	mis
eau	eau
compte	compte
dirait	dire
terre	terrer
belle	beau
espère	espérer
aimerais	aimer
loin	loin
as-tu	as-tu
mari	mari
donne	donne
fin	fin
croire	croire
mme	mme
aura	aura
gros	gros
boulot	boulot
plutôt	plutôt
chérie	chéri
prêt	prêt
filles	fille
bureau	bureau
mourir	mourir
hier	hier
possible	possible
jouer	jouer
demander	demander
celui	celui
voulait	vouloir
beau	beau
jeune	jeune
euh	euh
dehors	dehors
docteur	docteur
a-t-il	a-t-il
confiance	confiance
appeler	appeler
années	année
vérité	vérité
école	école
chef	chef
femmes	femme
propos	propos
semaine	semaine
vivre	vivre
regardez	regarder
feu	feu
journée	journée
madame	madame
hey	hey
téléphone	téléphoner
près	près
affaires	affairer
meilleur	meilleur
devez	devoir
dessus	dessus
mains	main
penses	penser
prie	prie
équipe	équipe
vas-y	vas-y
grande	grand
manger	manger
arriver	arriver
dur	dur
guerre	guerre
ait	avoir
appelé	appelé
marche	marche
sécurité	sécurité
garçon	garçon
essaie	essayer
important	important
dites	dire
exactement	exactement
font	faire
fort	fort
presque	presque
plein	plein
derrière	derrière
ben	ben
mariage	mariage
parents	parent
capitaine	capitaine
dernier	dernier
fou	fou
ceux	celui
tomber	tomber
attendre	attendre
vue	vue
pensé	penser
souviens	souvenir
envie	envie
fête	fête
jeu	jeu
génial	génial
pays	pays
garde	garde
cours	cours
bientôt	bientôt
ii	ii
numéro	numéro
personnes	personne
cinq	cinq
parfait	parfait
excusez-moi	excusez-moi
laissé	laisser
ainsi	ainsi
retour	retour
semble	sembler
autant	autant
peine	peiner
minute	minute
essayé	essayer
plan	plan
instant	instant
serai	être
prison	prison
penser	penser
essayer	essayer
prend	prendre
arme	arme
mauvais	mauvais
mot	mot
travailler	travailler
quatre	quatre
rentrer	rentrer
regarder	regarder
choix	choix
êtes-vous	êtes-vous
parfois	parfois
film	film
abord	abord
voyez	voir
faute	faute
facile	facile
croyais	croire
bas	bas
changer	changer
entendre	entendre
plaisir	plaisir
heureux	heureux
entrer	entrer
voudrais	vouloir
es-tu	es-tu
propre	propre
étiez	être
tour	tour
fera	faire
ensuite	ensuite
garder	garder
agent	agent
allait	aller
lit	lit
travaille	travailler
adore	adorer
amie	amie
rendre	rendre
allons-y	allons-y
route	router
lieu	lieu
année	année
voit	voir
commence	commencer
service	service
devoir	devoir
attend	attendre
drôle	drôle
difficile	difficile
sûre	sûr
pire	pire
pos	pos
peuvent	pouvoir
sujet	sujet
état	état
ceci	ceci
impossible	impossible
sorte	sorte
perdre	perdre
dollars	dollar
voulu	vouloir
morte	mort
ira	aller
faisait	faire
bizarre	bizarre
oublié	oublier
arrêtez	arrêter
ferai	faire
serais	être
tôt	tôt
inquiète	inquiet
payer	payer
coeur	coeur
dès	dès
pouvais	pouvoir
reviens	revenir
chien	chien
suffit	suffire
prenez	prendre
pensez	penser
café	café
calme	calme
cherche	cherche
montrer	montrer
parles	parler
photo	photo
ferme	ferme
problèmes	problème
the	the
cœur	cœur
sûrement	sûrement
verre	verre
aimes	aimer
devons	devoir
veulent	vouloir
doute	doute
musique	musique
courant	courant
sauf	sauf
moyen	moyen
nouvelles	nouveau
puis-je	puis-je
avis	avis
sauver	sauver
hôpital	hôpital
questions	question
meurtre	meurtre
sérieux	sérieux
seconde	seconde
trucs	truc
comprendre	comprendre
allais	aller
esprit	esprit
cool	cool
mlle	mlle
marché	marché
fous	fou
laisse-moi	laisse-moi
haut	haut
salle	salle
malade	malade
changé	changer
gentil	gentil
allé	aller
six	six
simple	simple
john	john
semaines	semaine
celle	celui
jack	jack
appris	apprendre
seigneur	seigneur
dîner	dîner
sors	sors
commencé	commencer
suppose	supposer
chemin	chemin
partout	partout
bras	bras
cul	cul
prochaine	prochain
visage	visage
h	h
meilleure	meilleur
face	face
soirée	soirée
roi	roi
surtout	surtout
retard	retard
écrit	écrit
livre	livre
rapport	rapport
chéri	chéri
message	message
voulez-vous	voulez-vous
vaut	valoir
ferais	faire
morts	mort
boire	boire
soyez	être
président	président
plait	plait
bois	bois
sinon	sinon
erreur	erreur
new	new
ecoute	ecoute
mr	mr
rentre	rentrer
rendez-vous	rendez-vous
devait	devoir
revenir	revenir
joue	joue
pauvre	pauvre
devenir	devenir
s	s
rencontrer	rencontrer
sort	sort
commencer	commencer
pouvait	pouvoir
occupe	occuper
entends	entendre
souvent	souvent
pièce	pièce
reçu	recevoir
grave	grave
mets	mets
intérieur	intérieur
honneur	honneur
dormir	dormir
an	an
faux	faux
messieurs	monsieur
groupe	groupe
rêve	rêve
carte	carte
aviez	avoir
appel	appel
manque	manque
envoyé	envoyé
début	début
sam	sam
puisse	pouvoir
écoutez	écouter
laissez-moi	laissez-moi
bonsoir	bonsoir
content	content
secret	secret
venue	venue
cher	cher
dis-moi	dis-moi
effet	effet
voyons	voir
sac	sac
continue	continuer
acheter	acheter
voix	voix
certains	certain
occuper	occuper
noël	noël
gagner	gagner
grâce	grâce
maître	maître
prix	prix
mauvaise	mauvais
général	général
âge	âge
long	long
rue	rue
tirer	tirer
apprendre	apprendre
cheveux	cheveu
noir	noir
promis	promis
avaient	avoir
patron	patron
avocat	avocat
force	forcer
accident	accident
dix	dix
probablement	probablement
laissez	laisser
bout	bout
ordre	ordre
armes	arme
cru	cru
déteste	détester
retrouver	retrouver
millions	million
incroyable	incroyable
voyage	voyage
ailleurs	ailleurs
oublie	oublie
ressemble	ressembler
bienvenue	bienvenu
disparu	disparu
protéger	protéger
utiliser	utiliser
situation	situation
petits	petit
aurai	avoir
veux-tu	veux-tu
connaissez	connaître
simplement	simplement
scène	scène
sœur	sœur
prête	prêt
oncle	oncle
devriez	devoir
liste	liste
soeur	soeur
complètement	complètement
dos	dos
armée	armée
paix	paix
battre	battre
york	york
crime	crime
anniversaire	anniversaire
finir	finir
réussi	réussir
agit	agir
i	i
retourner	retourner
sale	sale
libre	libre
bouge	bouge
contrôle	contrôler
rappelle	rappeler
arrêté	arrêté
hôtel	hôtel
idiot	idiot
okay	okay
rencontré	rencontrer
restez	rester
absolument	absolument
mots	mot
victime	victime
impression	impression
décidé	décidé
sympa	sympa
pars	partir
fasse	faire
avion	avion
bordel	bordel
habitude	habitude
table	table
rouge	rouge
système	système
photos	photo
médecin	médecin
seras	être
bateau	bateau
stupide	stupide
faim	faim
autour	autour
fond	fond
surprise	surprise
croyez	croire
devais	devoir
ligne	ligne
porter	porter
imagine	imaginer
colère	colère
clair	clair
seront	être
savait	savoir
balle	balle
gagné	gagner
or	or
hors	hors
magnifique	magnifique
risque	risque
terminé	terminer
su	savoir
heureuse	heureux
mission	mission
jolie	joli
parlez	parler
présent	présent
sorti	sortir
cadeau	cadeau
expliquer	expliquer
volé	voler
plusieurs	plusieurs
gauche	gauche
ferait	faire
neuf	neuf
passe-t-il	passe-t-il
ouvre	ouvre
disais	dire
dedans	dedans
disent	dire
pouvons	pouvoir
allez-y	allez-y
suivre	suivre
pourra	pouvoir
inspecteur	inspecteur
réponse	réponse
lumière	lumière
pieds	pied
pote	pote
montre	montre
pied	pied
marcher	marcher
charlie	charlie
auras	avoir
envoyer	envoyer
vraie	vrai
espèce	espèce
doivent	devoir
allô	allô
pareil	pareil
vas-tu	vas-tu
soleil	soleil
camp	camp
fallait	falloir
coin	coin
ignore	ignorer
moitié	moitié
you	you
selon	selon
tenir	tenir
grosse	grosse
vouloir	vouloir
michael	michael
vieille	vieux
devenu	devenir
continuer	continuer
rend	rendre
sortie	sortie
recherche	recherche
arrière	arrière
lire	lire
doucement	doucement
joli	joli
avance	avance
exact	exact
disait	dire
club	club
arrivée	arrivée
tue	tue
laquelle	lequel
poser	poser
chaud	chaud
aimé	aimé
david	david
fais-tu	fais-tu
tom	tom
professeur	professeur
quitter	quitter
loi	loi
tueur	tueur
donne-moi	donne-moi
flics	flic
connaître	connaître
lettre	lettre
forme	forme
connaît	connaître
conseil	conseil
bar	bar
normal	normal
danger	danger
dangereux	dangereux
folle	folle
jure	jurer
tiré	tiré
essaye	essayer
bonnes	bon
offre	offre
but	but
froid	froid
allez-vous	allez-vous
prêts	prêt
tranquille	tranquille
gamin	gamin
joe	joe
classe	classe
joué	jouer
poste	poste
con	con
mike	mike
attaque	attaquer
boîte	boîte
enquête	enquête
visite	visiter
juge	juge
moi-même	moi-même
bord	bord
debout	debout
envoie	envoyer
preuve	preuve
oublier	oublier
bons	bon
vivant	vivant
ciel	ciel
lu	lire
touche	toucher
aimer	aimer
faites-vous	faites-vous
télé	télé
met	mettre
écouter	écouter
serez	être
ll	ll
pourtant	pourtant
change	change
triste	triste
droite	droite
gueule	gueule
tombe	tombe
sentir	sentir
ouvrir	ouvrir
travers	travers
santé	santé
dossier	dossier
ie	ie
jeunes	jeune
frank	frank
coucher	coucher
cuisine	cuisine
monte	monte
pouvez-vous	pouvez-vous
signifie	signifier
entrez	entrer
relation	relation
centre	centre
dame	dame
chacun	chacun
chanson	chanson
foutre	foutre
voler	voler
blanc	blanc
george	george
certain	certain
don	don
âme	âme
manière	manière
flic	flic
décision	décision
mange	manger
vit	vit
compagnie	compagnie
déjeuner	déjeuner
différent	différent
tire	tire
ordres	ordre
clé	clé
vaisseau	vaisseau
secondes	second
enfer	enfer
sortez	sortir
vendre	vendre
faisais	faire
responsable	responsable
mecs	mec
nulle	nulle
signe	signe
lieutenant	lieutenant
aille	aller
acheté	acheter
étrange	étrange
diable	diable
viennent	venir
monter	monter
là-dedans	là-dedans
l	l
capable	capable
emmener	emmener
écrire	écrire
honte	honte
bouche	bouche
préfère	préférer
coupable	coupable
rire	rire
payé	payer
soin	soin
milieu	milieu
appartement	appartement
prochain	prochain
cerveau	cerveau
paris	pari
m	m
blague	blague
choisi	choisir
époque	époque
aurez	avoir
voie	voie
réunion	réunion
connu	connu
allée	allée
intérêt	intérêt
cheval	cheval
combat	combat
silence	silence
coups	coup
existe	exister
ia	ia
retourne	retourne
tel	tel
trou	trou
public	public
peter	peter
oeil	oeil
pleine	plein
cacher	cacher
amoureux	amoureux
drogue	droguer
commandant	commandant
garçons	garçon
faisons	faire
paul	paul
n	ne
tient	tenir
est-elle	est-elle
prise	prise
gouvernement	gouvernement
dirai	dire
client	client
adresse	adresse
journal	journal
contact	contact
dingue	dingue
sent	sentir
récupérer	récupérer
base	base
preuves	preuve
présente	présente
peau	peau
servir	servir
peuple	peuple
exemple	exemple
fiche	fiche
max	max
promets	promettre
lequel	lequel
blessé	blessé
c	c
société	société
tort	tort
sept	sept
pourriez	pouvoir
savent	savoir
ouvert	ouvert
héros	héros
menti	mentir
mer	mer
contente	content
quitté	quitter
jeter	jeter
sauvé	sauver
bière	bière
assis	assis
robe	robe
ecoutez	ecoutez
devient	devenir
félicitations	félicitation
opération	opération
prévu	prévoir
fut	être
tenez	tenir
livres	livre
répondre	répondre
seuls	seul
pute	pute
entrée	entrée
vol	vol
horrible	horrible
vin	vin
dommage	dommage
dites-moi	dites-moi
auriez	avoir
colonel	colonel
ramener	ramener
règles	règle
nez	nez
justice	justice
fbi	fbi
découvert	découvert
départ	départ
bruit	bruit
secours	secours
vérifier	vérifier
enceinte	enceinte
mise	mise
témoin	témoin
dirais	dire
directeur	directeur
intéressant	intéressant
excuse	excuse
environ	environ
t	t
inutile	inutile
terrible	terrible
danse	danse
position	position
humain	humain
apparemment	apparemment
avenir	avenir
rêves	rêve
œil	œil
bête	bête
sérieusement	sérieusement
bravo	bravo
approche	approche
nourriture	nourriture
fric	fric
plupart	plupart
lycée	lycée
tas	tas
empêcher	empêcher
longue	longue
sexe	sexe
niveau	niveau
banque	banque
éviter	éviter
étions	être
lune	lune
pitié	pitié
liberté	liberté
expérience	expérience
procès	procès
radio	radio
hum	hum
verra	voir
thé	thé
partez	partir
utilisé	utiliser
mur	mur
pose	pose
revenu	revenu
deuxième	deuxième
bande	bande
asseyez-vous	asseyez-vous
certaines	certain
ridicule	ridicule
nord	nord
appelez	appeler
copine	copiner
baiser	baiser
anglais	anglais
henry	henry
toilettes	toilette
portes	porte
faudra	falloir
occupé	occupé
grands	grand
and	and
dérange	déranger
rôle	rôle
censé	censé
savez-vous	savez-vous
james	james
reine	reine
croit	croire
cour	cour
église	église
vide	vide
obtenir	obtenir
conneries	connerie
ennuis	ennui
personnel	personnel
conduire	conduire
tombé	tomber
sol	sol
code	code
huit	huit
avions	avions
espoir	espoir
comprenez	comprendre
spécial	spécial
vidéo	vidéo
vêtements	vêtement
défense	défense
alex	alex
sud	sud
grand-mère	grand-mère
match	match
bombe	bombe
intéresse	intéresser
zone	zone
tante	tante
paraît	paraître
excuser	excuser
magasin	magasin
marier	marier
chère	chère
aie	avoir
souvenir	souvenir
proche	proche
revient	revient
danny	danny
douleur	douleur
arrivera	arriver
presse	presse
merveilleux	merveilleux
asseoir	asseoir
ravi	ravir
aimais	aimer
h.	h.
amérique	amérique
fenêtre	fenêtre
mien	mien
terrain	terrain
sergent	sergent
peux-tu	peux-tu
projet	projet
quartier	quartier
planète	planète
certainement	certainement
rapide	rapide
lorsque	lorsque
assurer	assurer
rendu	rendu
mignon	mignon
tourne	tourne
danser	danser
bob	bob
clients	client
petites	petit
aimez	aimer
présenter	présenter
importance	importance
venus	venir
jimmy	jimmy
sache	savoir
mérite	mérite
machine	machine
derniers	dernier
programme	programme
mesdames	madame
meilleurs	meilleur
honnête	honnête
essayez	essayer
irai	aller
connard	connard
occasion	occasion
prouver	prouver
travaillé	travailler
glace	glace
ayez	avoir
parie	parier
camion	camion
fier	fier
discuter	discuter
village	village
spectacle	spectacle
d	d
nul	nul
rose	rose
touché	toucher
mangé	manger
vis	vis
parole	parole
rencontre	rencontre
apprécie	apprécier
jane	jane
réalité	réalité
savons	savon
respect	respect
remettre	remettre
vacances	vacance
détruire	détruire
choisir	choisir
ha	ha
découvrir	découvrir
idées	idée
officier	officier
frères	frère
sert	servir
bill	bill
solution	solution
informations	information
attendais	attendre
monstre	monstre
sexy	sexy
ordinateur	ordinateur
retrouvé	retrouver
nature	nature
rappeler	rappeler
énergie	énergie
pierre	pierre
utilise	utiliser
pression	pression
chaussures	chaussure
faite	faire
histoires	histoire
sarah	sarah
marié	marier
espace	espace
soient	être
nick	nick
portable	portable
préparer	préparer
nécessaire	nécessaire
court	court
offrir	offrir
will	will
ai-je	ai-je
tony	tony
envers	envers
bain	bain
charge	charge
mary	mary
harry	harry
jim	jim
ennemi	ennemi
arrivent	arriver
immédiatement	immédiatement
finalement	finalement
énorme	énorme
grand-père	grand-père
test	test
gagne	gagner
réfléchir	réfléchir
victimes	victime
chanter	chanter
futur	futur
lâche	lâche
mademoiselle	mademoiselle
copain	copain
enlever	enlever
pensez-vous	pensez-vous
retrouve	retrouver
épouser	épouser
fleurs	fleur
salope	salope
aies	avoir
gosse	gosse
arranger	arranger
riche	riche
faits	faire
ancien	ancien
stop	stop
accepter	accepter
restes	reste
nouveaux	nouveau
sauter	sauter
suspect	suspect
vies	vie
durant	durer
invité	inviter
politique	politique
dents	dent
patient	patient
repas	repas
urgence	urgence
cartes	carte
jambes	jambe
conversation	conversation
telle	tel
bus	bus
to	to
tourner	tourner
toucher	toucher
mémoire	mémoire
série	série
mariée	marié
contraire	contraire
vent	vent
taille	taille
donnez-moi	donnez-moi
trouves	trouver
celui-là	celui-là
chat	chat
continuez	continuer
contrat	contrat
couteau	couteau
double	double
dure	dure
carrière	carrière
excuse-moi	excuse-moi
ray	ray
regardé	regarder
descendre	descendre
université	université
sentiments	sentiment
papier	papier
remarqué	remarquer
noms	nom
vécu	vécu
courage	courage
beauté	beauté
bu	boire
tais-toi	tais-toi
après-midi	après-midi
excellent	excellent
assieds-toi	assieds-toi
richard	richard
propres	propre
parmi	parmi
forte	forte
étant	étant
couple	couple
aiment	aimer
permis	permis
différence	différence
faudrait	falloir
course	course
humains	humain
dégage	dégager
mille	mille
accès	accès
cible	cible
joyeux	joyeux
bonheur	bonheur
aimait	aimer
manqué	manqué
action	action
steve	steve
aidé	aider
vouliez	vouloir
trouvez	trouver
films	film
emmène	emmener
marie	marier
taxi	taxi
restaurant	restaurant
crise	crise
piste	piste
dernières	dernier
puisque	puisque
blanche	blanche
coupe	coupe
secrets	secret
prince	prince
marrant	marrant
raisons	raison
refuse	refuser
apporté	apporter
cassé	cassé
lors	lors
mettez	mettre
dis-lui	dis-lui
tuée	tuer
maladie	maladie
mienne	mien
rentré	rentré
week-end	week-end
excuses	excuse
km	km
alcool	alcool
voudrait	vouloir
fil	fil
rends	rendre
quitte	quitte
couché	couché
disons	dire
totalement	totalement
claire	claire
it	it
londres	londres
remercier	remercier
mêmes	même
partis	parti
pensait	penser
île	île
tommy	tommy
remercie	remercier
caméra	caméra
pensent	penser
suis-je	suis-je
pleurer	pleurer
régler	régler
ouvrez	ouvrez
entier	entier
foutu	foutu
types	typer
fermer	fermer
animaux	animal
dise	dire
image	image
étage	étage
rejoindre	rejoindre
soldats	soldat
amuser	amuser
points	point
suivi	suivi
oubliez	oublier
langue	langue
direction	direction
frais	frais
veuillez	vouloir
miss	miss
soldat	soldat
couleur	couleur
bouger	bouger
frappé	frappé
frapper	frapper
venait	venir
raté	rater
évidemment	évidemment
sacré	sacrer
clés	clé
mentir	mentir
épouse	épouse
troisième	troisième
johnny	johnny
amy	amy
jésus	jésus
faible	faible
ryan	ryan
afin	afin
bleu	bleu
failli	failli
courir	courir
américain	américain
détails	détail
pont	pont
gay	gay
regarde-moi	regarde-moi
jake	jake
billy	billy
attraper	attraper
papiers	papier
poisson	poisson
lui-même	lui-même
wow	wow
chiens	chien
date	date
intention	intention
procureur	procureur
goût	goût
pourras	pouvoir
shérif	shérif
sais-tu	sais-tu
arrêt	arrêt
sourire	sourire
lait	lait
chasse	chasse
signal	signal
parlait	parler
destin	destin
marre	marre
français	français
princesse	princesse
paie	paie
foi	foi
chier	chier
dois-je	dois-je
présence	présence
doigts	doigt
partenaire	partenaire
quelles	quel
daniel	daniel
préféré	préférer
adieu	adieu
costume	costume
entreprise	entreprise
utile	utile
calme-toi	calme-toi
lien	lien
unique	unique
appartient	appartenir
attendant	attendre
amené	amener
moindre	moindre
quels	quel
amener	amener
amène	amène
enfoiré	enfoiré
recherches	rechercher
discours	discours
données	donner
robert	robert
art	art
appelles	appeler
salaud	salaud
penses-tu	penses-tu
magie	magie
bouteille	bouteille
justement	justement
raconter	raconter
rapidement	rapidement
bref	bref
tribunal	tribunal
viendra	venir
passée	passée
superbe	superbe
pourrai	pouvoir
pièces	pièce
certaine	certain
obligé	obliger
formidable	formidable
pause	pause
identité	identité
campagne	campagne
lee	lee
auraient	avoir
couper	couper
mark	mark
morceau	morceau
os	os
lettres	lettre
nombre	nombre
intelligent	intelligent
gâteau	gâteau
dépend	dépendre
job	job
jeux	jeu
compter	compter
cou	cou
of	of
reprendre	reprendre
joie	joie
agents	agent
gardes	garde
star	star
regard	regard
demandez	demander
balles	balle
vendu	vendre
majesté	majesté
menace	menace
malgré	malgré
appareil	appareil
demandais	demander
là-haut	là-haut
privé	privé
adam	adam
forces	forcer
fonctionne	fonctionner
méchant	méchant
jambe	jambe
empreintes	empreinte
ange	ange
agir	agir
noire	noire
imbécile	imbécile
gentille	gentil
labo	labo
résultats	résultat
toi-même	toi-même
cinéma	cinéma
nouvel	nouveau
malheureusement	malheureusement
décider	décider
né	naître
importante	important
voulons	vouloir
détruit	détruire
parfaitement	parfaitement
martin	martin
produit	produit
réparer	réparer
chapeau	chapeau
gérer	gérer
écoute-moi	écoute-moi
adn	adn
échange	échange
mince	mince
bougez	bouger
parfaite	parfait
meurt	mourir
fout	foutre
vitesse	vitesse
fermé	fermé
succès	succès
au-dessus	au-dessus
etre	etre
souvenirs	souvenir
comprend	comprendre
odeur	odeur
pain	pain
falloir	falloir
aise	aise
caché	cacher
règle	règle
imaginer	imaginer
raconte	raconter
vus	voir
accepté	accepter
trouvée	trouver
dors	dormir
celui-ci	celui-ci
ministre	ministre
infos	info
vendredi	vendredi
voitures	voiture
lever	lever
arbre	arbre
maire	maire
faveur	faveur
pourraient	pouvoir
prendra	prendre
surpris	surpris
jeté	jeté
également	également
fac	fac
apporter	apporter
washington	washington
champ	champ
peut-on	peut-on
comptes	compte
échapper	échapper
valeur	valeur
in	in
réel	réel
couverture	couverture
million	million
article	article
doux	doux
parc	parc
toit	toit
unité	unité
resté	rester
plage	plage
partager	partager
malin	malin
recevoir	recevoir
inquiétez	inquiéter
attendu	attendu
charles	charles
coffre	coffre
uh	uh
eddie	eddie
chris	chris
celle-là	celui-là
ramène	ramener
mode	mode
folie	folie
extérieur	extérieur
van	van
membre	membre
prévenir	prévenir
cache	cache
inquiéter	inquiéter
hasard	hasard
concerne	concerner
réponds	répondre
génie	génie
j	je
parlais	parler
parlons	parler
jardin	jardin
saison	saison
montré	montrer
frappe	frappe
enchanté	enchanté
gosses	gosse
abandonner	abandonner
assure	assurer
apporte	apporter
prépare	préparer
mètres	mètre
suivant	suivant
souhaite	souhaiter
services	service
ouest	ouest
va-t'	va-t'
poids	poids
poche	poche
faisant	faire
répondu	répondre
directement	directement
source	source
france	france
créer	créer
samedi	samedi
aidez-moi	aidez-moi
univers	univers
saura	savoir
réalisé	réaliser
américains	américain
perds	perdre
membres	membre
viande	viande
o'	o'
bobby	bobby
sont-ils	sont-ils
crois-moi	crois-moi
amoureuse	amoureux
grandes	grand
changement	changement
compliqué	compliqué
bal	bal
page	page
conduit	conduit
passage	passage
piège	piège
kevin	kevin
ressens	ressentir
accepte	accepter
grace	grace
fais-le	fais-le
amusant	amusant
dan	dan
donnez	donner
traces	trace
trésor	trésor
explique	expliquer
fesses	fesse
perte	perte
fantôme	fantôme
naissance	naissance
retraite	retraite
regardes	regarder
franchement	franchement
côtés	côté
larry	larry
étranger	étranger
poulet	poulet
vienne	venir
débarrasser	débarrasser
enlève	enlève
marque	marque
mens	mentir
fantastique	fantastique
cent	cent
beaux	beau
entendez	entendre
ouverte	ouvert
bâtiment	bâtiment
a-t-elle	a-t-elle
devrions	devoir
embrasser	embrasser
tombée	tombée
manquer	manquer
entré	entrer
san	san
chevaux	cheval
habite	habiter
animal	animal
fatigué	fatigué
heureusement	heureusement
billets	billet
convaincre	convaincre
appelait	appeler
rachel	rachel
paradis	paradis
émission	émission
lance	lancer
nettoyer	nettoyer
file	file
dimanche	dimanche
agréable	agréable
plans	plan
conscience	conscience
ennemis	ennemi
disant	dire
connaissance	connaissance
douce	doux
belles	beau
sentiment	sentiment
bataille	bataille
perd	perdre
pourrez	pouvoir
relations	relation
espérais	espérer
fais-moi	fais-moi
vôtre	vôtre
servi	servir
souci	souci
note	note
doigt	doigt
mensonge	mensonge
volonté	volonté
walter	walter
victoire	victoire
direct	direct
